Object Name,RA(deg),DEC(deg),Velocity,Redshift,Distance,Best Mag OLD,Abs Mag OLD,Photometry/Distance Note,General Note,Best mag_g,Best mag_r,Best mag_z,New Abs Mag,g_new - g_old,NED RI Distance,NED RI stdev ,NED Name,Source,RA_SDSS,Dec_SDSS,z_SDSS,plate,fiberID,URL,SDSS Spectrum Filename,specObjID,Nucl/extra,RA_HI,DEC_HI,RA_AA oc,DEC_AA oc,HI_OC Offset,AA_cz,Name,HI position,OC position,HI FWHM,HI Flux,S/N,rms,AA Dist,HI Mass,Observed?,4M,MDM,Lick,Palomar,HET,check,StarSub Spectrum Name,Spectrum Quality,SpecQual Note,EXP Time,,,Choice,modelMag_g,modelMag_r,modelMag_z,petroMag_g,petroRad_g,petroMag_r,petroRad_r,petroMag_z,petroRad_z,B_modelMag_g,B_modeMag_r,B_modelMag_z,B_petroMag_g,B_petroMag_r,B_petroMag_z,modg diff,modr diff,modz diff,petg diff,petr diff,petz diff,E(B-V),(PC - MC) g,(PC - MC) r,(PC - MC) z,Spectra Obtained,S/N ok?,ssub ok?,"AGN candidate? (1=yes, 2=maybe)"
104741.47+110437.4,161.92283,11.077074,2723.139433,0.00908349,42.9457,13.823913,-19.34068543,-,,13.820058,13.283292,13.257814,-19.34454043,-0.003855,38.157,2.848,,SDSS,161.92283,11.077074,0.00908348988741636,1601,166,http://das.sdss.org/spectro/1d_26/1601/1d/spSpec-53115-1601-166.fit,450869565597941760.fit,450869565597941760,n,161.9233333,11.08055556,161.9229167,11.07666667,14.07717733,2718,066-015,104741.6+110450,104741.5+110436,296(  2),13.22(0.08),91.7,1.87,33.7,9.55,,,,,,,,t450869565597941760_ssub.fits,,,,,,PC,13.966444,13.296486,12.775293,13.820058,44.047749,13.283292,41.090832,13.257814,31.021303,,,,,,,,,,,,,,-0.15,-0.01,0.48,,1,0,2
094423.48+111352.7,146.09787,11.23131,5086,0.016965,74.5143,15.041506,-19.31969213,-,,15.023673,14.565646,14.420551,-19.33752513,-0.017833,,,CGCG 063-056,SDSS,146.09788,11.231296,0.0169890001416206,1742,146,http://das.sdss.org/spectro/1d_26/1742/1d/spSpec-53053-1742-146.fit,490557270942285824.fit,490557270942285824,n,146.0991667,11.23305556,146.0979167,11.23138889,7.448602837,5068,063-056,094423.8+111359,094423.5+111353,103(  2),3.85(0.07),34.2,2.47,74.9,9.71,,,,,,,,t490557270942285824_ssub.fits,,,,,,PC,15.059837,14.530406,14.121734,15.023673,23.114265,14.565646,23.076139,14.420551,18.106897,,,,,,,,,,,,,,-0.04,0.04,0.30,,1,1,0
114139.73+155756.5,175.41556,15.96572,3220,0.010741,50.7347,14.329459,-19.19706648,-,,14.332583,13.562942,12.866034,-19.19394248,0.003124,,,UGC 06653,SDSS,175.41556,15.965716,0.010733500123024,1761,325,http://das.sdss.org/spectro/1d_26/1761/1d/spSpec-53376-1761-325.fit,495906683525005312.fit,495906683525005312,n,175.4183333,15.96416667,175.4154167,15.96555556,11.26540991,3219,097-056,114140.4+155751,114139.7+155756,334(  5),1.69(0.10),9.4,2.2,48.5,8.97,,,,,,,,t495906683525005312_ssub.fits,,,,,,PC,14.363967,13.561235,12.778228,14.332583,14.088524,13.562942,13.277728,12.866034,12.387947,,,,,,,,,,,,,,-0.03,0.00,0.09,,1,0,0
095351.44+133653.6,148.46437,13.61489,4867,0.016235,71.9878,15.143538,-19.14275651,-,,15.143538,14.617451,14.237927,-19.14275651,0,,,ARK 221,SDSS,148.46454,13.615107,0.0162976998835802,2584,298,http://das.sdss.org/spectro/1d_26/2584/1d/spSpec-54153-2584-298.fit,727563926434217984.fit,727563926434217984,n,,,,,,,,,,,,,,,,,,,,,,,t727563926434217984_ssub.fits,,,,,,PC,15.134379,14.643992,14.155258,15.143538,15.667818,14.617451,16.607529,14.237927,16.28406,,,,,,,,,,,,,,0.01,-0.03,0.08,,1,1,0
095853.35+152248.0,149.72233,15.38,4641,0.015481,69.0418,15.112867,-19.08269353,-,,15.112867,14.650337,14.467259,-19.08269353,0,,,CGCG 093-013,SDSS,149.72221,15.379947,0.0155563997104764,2584,521,http://das.sdss.org/spectro/1d_26/2584/1d/spSpec-54153-2584-521.fit,727563927369547776.fit,727563927369547776,n,149.71875,15.37944444,149.7220833,15.37972222,11.61341413,4651,093-013,095852.5+152246,095853.3+152247,203(  4),2.78(0.07),20.4,2.14,68.9,9.49,,,,,,,,t727563927369547776_ssub.fits,,,,,,PC,15.077114,14.607516,14.223058,15.112867,18.657808,14.650337,19.292032,14.467259,17.551258,,,,,,,,,,,,,,0.04,0.04,0.24,,1,1,0
100727.69+121628.2,151.86539,12.27451,2839,0.00947,43.4747,14.217775,-18.97340797,-,,14.224356,13.779606,13.581614,-18.96682697,0.006581,40.5,,IC 0591,SDSS,151.86539,12.274507,0.00938626006245613,1745,310,http://das.sdss.org/spectro/1d_26/1745/1d/spSpec-53061-1745-310.fit,491401730920022016.fit,491401730920022016,n,151.8683333,12.27027778,151.8654167,12.27388889,16.56106841,2817,I 591,100728.4+121613,100727.7+121626,140( 11),2.09(0.07),17.3,2.27,43,8.96,,,,,,,,t491401730920022016_ssub.fits,,,,,,PC,14.256054,13.808738,13.462244,14.224356,17.594925,13.779606,17.973522,13.581614,16.557228,,,,,,,,,,,,,,-0.03,-0.03,0.12,,1,1,0
101712.71+131131.3,154.30299,13.19205,5242,0.017485,77.3722,15.488245,-18.95467973,-,,15.483676,14.904097,14.467986,-18.95924873,-0.004569,,,CGCG 064-101,SDSS,154.30299,13.192054,0.0175081994384527,1746,351,http://das.sdss.org/spectro/1d_26/1746/1d/spSpec-53062-1746-351.fit,491683210363666432.fit,491683210363666432,n,,,,,,,,,,,,,,,,,,,,,,,t491683210363666432_ssub.fits,,,,,,PC,15.519713,14.920731,14.360213,15.483676,13.366068,14.904097,13.402576,14.467986,12.384949,,,,,,,,,,,,,,-0.04,-0.02,0.11,,1,1,0
110955.93+104314.9,167.48308,10.72083,1579,0.005268,28.1478,13.296449,-18.95077328,-,,13.323171,12.871471,12.67121,-18.92405128,0.026722,22.3,5.94,NGC 3547,SDSS,167.48306,10.720828,0.00529582006856799,1604,202,http://das.sdss.org/spectro/1d_26/1604/1d/spSpec-53078-1604-202.fit,451713831765278720.fit,451713831765278720,n,167.48625,10.72,167.4829167,10.72,11.79057547,1584,N3547,110956.7+104312,110955.9+104312,204(  6),8.58(0.11),34.1,2.94,18.1,8.82,,,,,,,,t451713831765278720_ssub.fits,,,,,,PC,13.351513,12.909306,12.51343,13.323171,26.460815,12.871471,26.90168,12.67121,25.223028,,,,,,,,,,,,,,-0.03,-0.04,0.16,,1,1,0
110632.10+112307.5,166.63377,11.38542,1365,0.004553,25.1098,13.096653,-18.90256327,-,,13.09378,12.383383,11.782426,-18.90543627,-0.002873,,,NGC 3524,SDSS,166.63377,11.385419,0.00456691021099687,1603,64,http://das.sdss.org/spectro/1d_26/1603/1d/spSpec-53119-1603-064.fit,451432532303413248.fit,451432532303413248,n,,,,,,,,,,,,,,,,,,,,,,,t451432532303413248_ssub.fits,,,,,,PC,13.193532,12.49682,11.815724,13.09378,22.341125,12.383383,21.951805,11.782426,21.047703,,,,,,,,,,,,,,-0.10,-0.11,-0.03,,1,0,0
095836.23+131519.0,149.65096,13.25528,3458,0.011535,52.4048,14.726519,-18.87033634,-,,14.732523,14.311583,13.984921,-18.86433234,0.006004,40.4,,MRK 1242,SDSS,149.65096,13.255276,0.0115406000986695,1744,329,http://das.sdss.org/spectro/1d_26/1744/1d/spSpec-53055-1744-329.fit,491120230253199360.fit,491120230253199360,n,149.6529167,13.25694444,149.6508333,13.25527778,9.449463279,3473,064-013,095836.7+131525,095836.2+131519,155( 14),3.36(0.08),28.3,2.13,52.5,9.34,,,,,,,,t491120230253199360_ssub.fits,,,,,,PC,14.537851,14.162663,13.852553,14.732523,10.894849,14.311583,12.595943,13.984921,12.380446,,,,,,,,,,,,,,0.19,0.15,0.13,,1,1,0
112440.32+145647.4,171.16803,14.94651,4158,0.01387,64.0447,15.226489,-18.80592698,-,,15.241268,14.747555,14.436414,-18.79114798,0.014779,,,UGC 06424,SDSS,171.16803,14.946506,0.01393480040133,1753,513,http://das.sdss.org/spectro/1d_26/1753/1d/spSpec-53383-1753-513.fit,493654914564620288.fit,493654914564620288,n,171.17125,14.94666667,171.1679167,14.94611111,11.76524991,4159,096-039,112441.1+145648,112440.3+145646,268(  2),5.13(0.07),41.7,1.68,61.9,9.67,,,,,,,,t493654914564620288_ssub.fits,,,,,,PC,15.330294,14.727665,14.170432,15.241268,23.132442,14.747555,20.678186,14.436414,16.487556,,,,,,,,,,,,,,-0.09,0.02,0.27,,1,1,0
105119.93+140124.3,162.83306,14.02344,3069,0.010236,47.9996,14.684961,-18.72122709,-,,14.685545,14.270027,13.886134,-18.72064309,0.000584,51.567,3.731,NGC 3419A,SDSS,162.83306,14.023437,0.0102602997794747,1750,312,http://das.sdss.org/spectro/1d_26/1750/1d/spSpec-53358-1750-312.fit,492810381417250816.fit,492810381417250816,n,162.8308333,14.02222222,162.8329167,14.02277778,7.546358628,3073,066-042,105119.4+140120,105119.9+140122,255(  2),11.96(0.09),75.6,2.21,46.6,9.79,,,,,,,,t492810381417250816_ssub.fits,,,,,,PC,14.799583,14.262397,13.770182,14.685545,26.374166,14.270027,18.150455,13.886134,14.171633,,,,,,,,,,,,,,-0.11,0.01,0.12,,1,1,0
102946.79+130105.4,157.44496,13.01817,2940,0.009807,46.0053,14.658778,-18.65526134,-,,14.670284,14.164062,13.936469,-18.64375534,0.011506,,,UGC 05695,SDSS,157.44495,13.018173,0.00985679030418396,1747,164,http://das.sdss.org/spectro/1d_26/1747/1d/spSpec-53075-1747-164.fit,491964740390617088.fit,491964740390617088,n,157.4441667,13.02138889,157.4445833,13.01805556,12.08866427,2943,065-046,102946.6+130117,102946.7+130105,227(  7),4.55(0.10),25.6,2.63,44.8,9.33,,,,,,,,t491964740390617088_ssub.fits,,,,,,PC,14.682775,14.134289,13.718781,14.670284,27.074472,14.164062,26.559414,13.936469,22.976686,,,,,,,,,,,,,,-0.01,0.03,0.22,,1,1,0
114612.35+103543.9,176.5515,10.59553,3061,0.010211,49.248,14.852652,-18.60929099,-,,14.845789,14.42391,14.436576,-18.61615399,-0.006863,,,CGCG 068-062,SDSS,176.55146,10.595534,0.0104050999507308,1225,585,http://das.sdss.org/spectro/1d_26/1225/1d/spSpec-52760-1225-585.fit,345033451398758400.fit,345033451398758400,n,176.5533333,10.59416667,176.5508333,10.59611111,11.28102846,3050,068-062,114612.8+103539,114612.2+103546,123(  4),4.48(0.09),33.2,2.72,46.1,9.35,,,,,,,,t345033451398758400_ssub.fits,,,,,,PC,14.833369,14.397643,14.119948,14.845789,21.959579,14.42391,24.04578,14.436576,18.949266,,,,,,,,,,,,,,0.01,0.03,0.32,,1,1,0
112634.04+112624.2,171.64187,11.44008,3203,0.010684,50.504,14.893353,-18.62327588,-,,14.907701,14.466183,14.495784,-18.60892788,0.014348,56,0.283,IC 2822,SDSS,171.64186,11.440074,0.0107493996620178,1606,246,http://das.sdss.org/spectro/1d_26/1606/1d/spSpec-53055-1606-246.fit,452276683119001600.fit,452276683119001600,n,171.6429167,11.44027778,171.64125,11.43944444,6.601804111,3204,I2822,112634.3+112625,112633.9+112622,223(  3),11.10(0.09),70.4,2.36,48.3,9.79,,,,,,,,t452276683119001600_ssub.fits,,,,,,PC,15.004589,14.496962,14.118459,14.907701,29.212507,14.466183,27.314135,14.495784,20.681206,,,,,,,,,,,,,,-0.10,-0.03,0.38,,1,1,0
113730.73+152910.8,174.37805,15.486344,4732.604875,0.0157864,71.9226,15.686318,-18.59800889,-,,15.676792,15.33372,15.064042,-18.60753489,-0.009526,,,,SDSS,174.37805,15.486344,0.015786400064826,1755,451,http://das.sdss.org/spectro/1d_26/1755/1d/spSpec-53386-1755-451.fit,494217877142896640.fit,494217877142896640,n,174.3758333,15.48777778,174.3775,15.48666667,7.030871148,4715,MK 742,113730.2+152916,113730.6+152912,80(  3),1.52(0.06),16.9,2.25,69.7,9.24,,,,,,,,t494217877142896640_ssub.fits,,,,,,PC,15.67524,15.313677,15.020826,15.676792,8.594172,15.33372,8.864536,15.064042,9.055411,,,,,,,,,,,,,,0.00,0.02,0.04,,1,1,0
114646.27+143159.0,176.69283,14.53306,3162,0.010546,50.3154,14.906979,-18.60152565,-,,14.922324,14.478906,14.371357,-18.58618065,0.015345,,,UGC 06753,SDSS,176.69281,14.533054,0.0106261996552348,1761,170,http://das.sdss.org/spectro/1d_26/1761/1d/spSpec-53376-1761-170.fit,495906682874888192.fit,495906682874888192,n,176.69375,14.53527778,176.6925,14.53277778,9.998734414,3149,097-146,114646.5+143207,114646.2+143158,170(  6),2.31(0.06),18.2,1.9,47.5,9.09,,,,,,,,t495906682874888192_ssub.fits,,,,,,PC,14.940589,14.454129,14.252208,14.922324,22.942978,14.478906,22.4804,14.371357,19.030962,,,,,,,,,,,,,,-0.02,0.02,0.12,,1,1,0
112239.99+131949.9,170.66663,13.33053,4167,0.0139,63.6589,15.44302,-18.57627565,-,,15.450771,15.206346,15.092635,-18.56852465,0.007751,,,IC 2776,SDSS,170.66663,13.330537,0.013854299671948,1605,575,http://das.sdss.org/spectro/1d_26/1605/1d/spSpec-53062-1605-575.fit,451995239586988032.fit,451995239586988032,n,170.6708333,13.33611111,170.66625,13.33055556,25.64704207,4151,I2776,112241.0+132010,112239.9+131950,114(  7),4.48(0.07),38.7,2.41,61.8,9.61,,,,,,,,t451995239586988032_ssub.fits,,,,,,PC,15.516971,15.241063,14.992345,15.450771,17.793999,15.206346,16.794672,15.092635,15.859791,,,,,,,,,,,,,,-0.07,-0.03,0.10,,1,1,0
114812.79+131233.7,177.05333,13.209376,3148.274625,0.0105016,49.8253,15.092735,-18.39451461,-,,15.076281,14.473177,14.601859,-18.41096861,-0.016454,,,,SDSS,177.05333,13.209376,0.0105015998706222,1608,620,http://das.sdss.org/spectro/1d_26/1608/1d/spSpec-53138-1608-620.fit,452839991123378176.fit,452839991123378176,n,177.0525,13.21444444,177.0529167,13.20833333,22.04841212,3165,068-069,114812.6+131252,114812.7+131230,194(  0),9.15(0.09),59.1,2.31,47.7,9.69,,,,,,,,t452839991123378176_ssub.fits,,,,,,PC,15.007099,14.473442,14.219158,15.076281,28.576096,14.473177,28.212667,14.601859,23.994015,,,,,,,,,,,,,,0.07,0.00,0.38,,1,1,0
113418.16+153545.4,173.57568,15.59595,5178.422733,0.017273501,77.868,16.075449,-18.3813461,-,,16.079971,15.779651,15.469477,-18.3768241,0.004522,,,,SDSS,173.57568,15.59595,0.0172735005617142,1755,336,http://das.sdss.org/spectro/1d_26/1755/1d/spSpec-53386-1755-336.fit,494217876660551680.fit,494217876660551680,n,173.5754167,15.59138889,173.5754167,15.59583333,16,5176,,113418.1+153529,113418.1+153545,136( 10),2.13(0.06),21.2,1.92,76.2,9.46,,,,,,,,t494217876660551680_ssub.fits,,,,,,PC,16.123466,15.813422,15.492335,16.079971,6.056388,15.779651,6.125335,15.469477,6.331572,,,,,,,,,,,,,,-0.04,-0.03,-0.02,,1,1,0
113508.28+155731.0,173.78454,15.95863,5121,0.017082,77.2591,16.059113,-18.38063522,-,,16.077192,15.551531,15.143544,-18.36255622,0.018079,1017,6.081,UGC 06559,SDSS,173.78454,15.958625,0.0170955993235111,2503,128,http://das.sdss.org/spectro/1d_26/2503/1d/spSpec-53856-2503-128.fit,704763177002336256.fit,704763177002336256,n,173.7883333,15.96222222,173.7845833,15.95833333,19.09110492,5124,097-016,113509.2+155744,113508.3+155730,270(  3),6.35(0.10),38.3,2.25,75.4,9.93,,,,,,,,t704763177002336256_ssub.fits,,,,,,PC,16.086098,15.482489,14.952054,16.077192,19.100037,15.551531,16.586651,15.143544,12.999042,,,,,,,,,,,,,,-0.01,0.07,0.19,,1,1,0
094631.02+155310.7,146.62926,15.88632,3799,0.012672,56.9477,15.471736,-18.30564494,-,,15.471736,14.888751,14.414782,-18.30564494,0,73.7,0.424,CGCG 092-049,SDSS,146.62926,15.886325,0.0126793002709746,2583,300,http://das.sdss.org/spectro/1d_26/2583/1d/spSpec-54095-2583-300.fit,727282202357792768.fit,727282202357792768,n,146.6308333,15.89305556,146.6295833,15.88611111,25.37187627,3808,092-049,094631.4+155335,094631.1+155310,226(  3),1.88(0.08),12.6,2.21,57.1,9.16,,,,,,,,t727282202357792768_ssub.fits,,,,,,PC,15.454566,14.845306,14.294247,15.471736,16.657429,14.888751,16.229158,14.414782,15.362248,,,,,,,,,,,,,,0.02,0.04,0.12,,1,1,0
103442.80+111150.4,158.67834,11.19735,1394,0.00465,24.0607,13.609221,-18.29732029,-,,13.608481,12.7717,12.084723,-18.29806029,-0.00074,32.533,3.213,NGC 3279,SDSS,158.67834,11.197346,0.00462883012369275,1599,635,http://das.sdss.org/spectro/1d_26/1599/1d/spSpec-53089-1599-635.fit,450306505942499328.fit,450306505942499328,n,158.6783333,11.19777778,158.6783333,11.19666667,4,1389,I 622,103442.8+111152,103442.8+111148,347(  4),4.23(0.08),24.9,1.81,31.6,9,,,,,,,,t450306505942499328_ssub.fits,,,,,,PC,13.523248,12.624191,11.772648,13.608481,51.501541,12.7717,52.124493,12.084723,43.263973,,,,,,,,,,,,,,0.09,0.15,0.31,,1,1,0
113914.72+145932.7,174.81137,14.99243,4278,0.014269,65.196,15.792225,-18.27887976,-,,15.791297,15.066699,14.412079,-18.27980776,-0.000928,,,CGCG 097-038,SDSS,174.81137,14.992426,0.0141490995883942,1755,517,http://das.sdss.org/spectro/1d_26/1755/1d/spSpec-53386-1755-517.fit,494217877419720704.fit,494217877419720704,n,,,,,,,,,,,,,,,,,,,,,,,t494217877419720704_ssub.fits,,,,,,PC,15.869336,15.130005,14.446788,15.791297,11.659248,15.066699,10.925038,14.412079,10.302519,,,,,,,,,,,,,,-0.08,-0.06,-0.03,,1,1,0
112426.06+112031.9,171.10862,11.34222,1060,0.003536,15.9466,12.763696,-18.2496445,-,,12.764997,12.141821,11.671135,-18.2483435,0.001301,17.778,2.65,NGC 3666,SDSS,171.10862,11.342213,0.00353754009120166,1605,17,http://das.sdss.org/spectro/1d_26/1605/1d/spSpec-53062-1605-017.fit,451995237246566400.fit,451995237246566400,n,171.11125,11.34305556,171.1091667,11.34166667,8.892372043,1059,N3666,112426.7+112035,112426.2+112030,255(  2),44.96(0.10),263.2,2.39,16.3,9.45,,,,,,,,t451995237246566400_ssub.fits,,,,,,PC,12.886911,12.152398,11.535297,12.764997,41.620861,12.141821,39.066086,11.671135,33.251129,,,,,,,,,,,,,,-0.12,-0.01,0.14,,1,1,0
114832.44+124219.0,177.1352,12.705293,4399.118593,0.014674,67.5553,15.909469,-18.23882813,-,,15.923397,15.379724,15.135571,-18.22490013,0.013928,,,,SDSS,177.1352,12.705293,0.014674000442028,1609,427,http://das.sdss.org/spectro/1d_26/1609/1d/spSpec-53142-1609-427.fit,453121482470457344.fit,453121482470457344,n,,,,,,,,,,,,,,,,,,,,,,,t453121482470457344_ssub.fits,,,,,,PC,15.865094,15.33746,14.863268,15.923397,16.260746,15.379724,16.152914,15.135571,14.064974,,,,,,,,,,,,,,0.06,0.04,0.27,,1,1,0
